state,model,rmse,mae,mape,training_time_seconds,version,timestamp
Kansas,prophet,66614526.9256,59990804.0581,76.2202,1.048,v1,2026-05-07T08:04:54.449681Z
Kansas,xgboost,44979591.3047,36616903.9875,28.982,5.584,v1,2026-05-07T08:04:54.449681Z
Kansas,lstm,60887787.5787,52643038.6858,74.6702,27.928,v1,2026-05-07T08:04:54.449681Z
Kentucky,arima,175117103.9192,103360121.3078,135.4236,3.095,v1,2026-05-07T08:05:27.420409Z
Kentucky,prophet,129105190.3729,117007186.2387,75.9399,4.808,v1,2026-05-07T08:05:27.420409Z
Kentucky,xgboost,108700688.1356,92532332.825,39.7905,15.761,v1,2026-05-07T08:05:27.420409Z
Kentucky,lstm,114779716.6643,95028781.1027,77.2231,21.032,v1,2026-05-07T08:05:27.420954Z
Louisiana,arima,189284026.3061,104504739.5368,136.295,3.12,v1,2026-05-07T08:05:31.000125Z
Louisiana,prophet,139706180.3898,127239635.1204,75.6036,4.817,v1,2026-05-07T08:05:31.000125Z
Louisiana,xgboost,115703499.8823,92065701.3375,55.4033,4.902,v1,2026-05-07T08:05:31.000125Z
Louisiana,lstm,122817508.1471,101107276.974,77.2269,20.988,v1,2026-05-07T08:05:31.000125Z
Maryland,arima,168112546.4711,97090150.1545,135.9269,5.161,v1,2026-05-07T08:05:40.989472Z
Maryland,prophet,121972184.4576,110067512.8436,75.9746,1.01,v1,2026-05-07T08:05:40.989472Z
Maryland,xgboost,93651183.2164,75242376.6375,58.2448,3.65,v1,2026-05-07T08:05:40.989472Z
Maryland,lstm,110137584.5631,93358721.9449,75.7676,28.182,v1,2026-05-07T08:05:40.989472Z
Maine,arima,47580032.3051,27968813.247,133.9635,6.332,v1,2026-05-07T08:05:49.956143Z
Maine,prophet,35302875.0264,31673801.7844,76.6664,1.003,v1,2026-05-07T08:05:49.956143Z
Maine,xgboost,23623552.268,21442043.125,31.1225,3.706,v1,2026-05-07T08:05:49.956143Z
Maine,lstm,31454919.3969,25755280.9009,77.388,37.803,v1,2026-05-07T08:05:49.956143Z
Massachusetts,arima,190064444.3717,107051599.3468,135.5506,3.344,v1,2026-05-07T08:06:14.451933Z
Massachusetts,prophet,137851568.2525,124279472.1008,75.9224,1.631,v1,2026-05-07T08:06:14.451933Z
Massachusetts,xgboost,86981569.8186,70250995.0,31.19,7.5,v1,2026-05-07T08:06:14.451933Z
Massachusetts,lstm,124448916.4275,104204702.5951,76.6369,23.47,v1,2026-05-07T08:06:14.451933Z
Michigan,arima,299568559.0424,175701083.5875,135.5565,4.788,v1,2026-05-07T08:06:14.594469Z
Michigan,prophet,216712132.8686,193362416.9445,77.1044,1.212,v1,2026-05-07T08:06:14.594469Z
Michigan,xgboost,146341586.1112,116134077.95,52.7106,7.421,v1,2026-05-07T08:06:14.594469Z
Michigan,lstm,195080015.1565,160156611.3244,77.6782,23.768,v1,2026-05-07T08:06:14.594469Z
Minnesota,arima,160901093.7264,91336843.6999,136.4518,2.845,v1,2026-05-07T08:06:25.180676Z
Minnesota,prophet,116286345.6434,106168811.9861,74.6588,1.076,v1,2026-05-07T08:06:25.180676Z
Minnesota,xgboost,80326872.5232,58696674.0375,59.1676,11.575,v1,2026-05-07T08:06:25.180676Z
Minnesota,lstm,102455836.9919,80736557.1304,79.9619,21.11,v1,2026-05-07T08:06:25.180676Z
Mississippi,arima,120918304.2367,62840229.8494,133.2131,3.167,v1,2026-05-07T08:06:34.730461Z
Mississippi,prophet,88716949.352,76996896.2485,78.3832,5.71,v1,2026-05-07T08:06:34.730461Z
Mississippi,xgboost,61572615.2424,48079483.1031,52.3789,2.659,v1,2026-05-07T08:06:34.730461Z
Mississippi,lstm,83057391.1263,69280867.14,77.301,21.829,v1,2026-05-07T08:06:34.730461Z
Missouri,arima,198317260.5577,115312378.2006,136.2999,4.692,v1,2026-05-07T08:06:57.282378Z
Missouri,prophet,145327901.3069,132496109.2067,75.4163,1.377,v1,2026-05-07T08:06:57.282378Z
Missouri,xgboost,108533240.9329,86832720.325,22.6105,7.402,v1,2026-05-07T08:06:57.282378Z
Missouri,lstm,128316400.0869,105363038.8473,77.8193,22.394,v1,2026-05-07T08:06:57.282378Z
Nebraska,arima,59723771.9374,31184001.514,131.8663,4.308,v1,2026-05-07T08:06:58.883368Z
Nebraska,prophet,44229942.793,38173659.5812,79.1153,1.242,v1,2026-05-07T08:06:58.883368Z
Nebraska,xgboost,35308272.7512,28969330.9563,29.8429,7.13,v1,2026-05-07T08:06:58.883368Z
Nebraska,lstm,40282876.8656,30395684.057,81.8945,22.771,v1,2026-05-07T08:06:58.883368Z
Nevada,arima,105657741.1101,59320261.5359,136.4431,3.254,v1,2026-05-07T08:07:07.874659Z
Nevada,prophet,77942656.0205,70774654.9415,76.3915,0.971,v1,2026-05-07T08:07:07.874659Z
Nevada,xgboost,56573697.8131,46268736.425,31.6202,8.368,v1,2026-05-07T08:07:07.874659Z
Nevada,lstm,69758947.8392,59720267.1552,75.4633,23.229,v1,2026-05-07T08:07:07.874659Z
New Hampshire,arima,57304710.7543,32468101.409,135.6361,3.214,v1,2026-05-07T08:07:17.366561Z
New Hampshire,prophet,41874256.907,37920414.5172,75.6334,7.121,v1,2026-05-07T08:07:17.366561Z
New Hampshire,xgboost,29719979.2914,24692799.5562,52.5789,2.299,v1,2026-05-07T08:07:17.366561Z
New Hampshire,lstm,37351789.2059,30334773.8505,78.512,22.502,v1,2026-05-07T08:07:17.366561Z
New Mexico,arima,74576132.092,41790699.1434,135.5951,3.128,v1,2026-05-07T08:07:41.000061Z
New Mexico,prophet,54248628.6253,48413369.8761,77.5488,1.251,v1,2026-05-07T08:07:41.001065Z
New Mexico,xgboost,45418547.3353,36497385.5187,32.591,8.926,v1,2026-05-07T08:07:41.001065Z
New Mexico,lstm,48469956.0449,39776913.9636,77.5593,20.475,v1,2026-05-07T08:07:41.001065Z
New York,arima,442320349.2907,259575543.515,134.2002,2.893,v1,2026-05-07T08:07:42.406078Z
New York,prophet,324010238.5041,289459041.0293,76.545,1.26,v1,2026-05-07T08:07:42.406078Z
New York,xgboost,193132939.1465,155416919.7875,34.7629,7.804,v1,2026-05-07T08:07:42.406078Z
